Party and Electorate Candidate Votes Recorded at each Voting Place
Te Atatū 53,Candidate Vote Details
,,"COURT, Simon Thomas","NEUMANN, Friederike Zooey","NICHOLAS, Angee","PHILLIPS, Melanie Ann","TAMIHERE, John Henry","TWYFORD, Philip Stoner",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Albany,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",12,6,48,0,1,10,77,1
Auckland City,"Auckland University Students Association, 4 Alfred Street",3,12,6,0,3,25,49,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",2,11,24,1,2,13,53,2
Glendene,"Church Unlimited, Auditorium 2, 3 Te Atatū Road",51,56,227,5,22,251,612,12
Glen Eden,"Methodist Centre of the West Church Hall, 302 West Coast Road",4,10,10,0,1,9,34,0
,"Our Lady of Lourdes Catholic Church Hall, 7 Glendale Road",4,3,13,0,1,28,49,2
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, Whare Kowhanga, 441 West Coast Road",0,7,5,0,6,11,29,0
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",4,11,20,0,2,22,59,2
Grey Lynn,"Grey Lynn Community Centre, 510 Richmond Road",1,0,5,3,0,8,17,0
Henderson,"Hub West, Rua Back Room, 29 Corban Avenue",50,47,242,7,18,196,560,11
,"Sturges West Community House, 58 Summerland Drive",182,113,1410,23,41,769,2538,50
,"Te Pai Centre, 31-35 Te Pai Place",106,87,456,22,29,506,1206,22
,"Waitakere Hospital, Main Entrance Foyer, 55-75 Lincoln Road",15,21,93,4,5,118,256,9
,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",140,166,904,23,76,985,2294,54
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",109,120,686,20,42,779,1756,36
Massey,"Massey High School, 274 Don Buck Road",5,7,44,2,2,49,109,3
,"Massey Matters, Massey Community Hub, 385 Don Buck Road",8,20,53,6,8,69,164,3
Milford,"North Shore Hospital, Main Entrance Foyer, Shakespeare Road",5,4,15,0,1,24,49,0
Mt Albert,"UNITEC, Te Puna, Building 180, 139 Carrington Road",1,3,14,2,1,18,39,0
,"Westfield St Lukes Shopping Centre, Centre Court, Level 1, 80 Saint Lukes Road",6,17,65,0,2,46,136,7
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",13,22,94,0,6,77,212,3
,"The Salvation Army Church Hall, 32 Delta Avenue",1,1,7,0,0,3,12,1
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",4,8,48,0,1,16,77,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",4,8,27,1,0,10,50,0
Rānui,"Ranui Mosque, 31 Armada Drive",0,1,10,0,4,9,24,1
,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",68,114,419,22,32,659,1314,34
Taken in Te Atatū,"Care Homes Team, Team 1",0,1,20,1,3,50,75,1
,"Care Homes Team, Team 2",2,0,6,0,2,15,25,1
Te Atatū Peninsula,"Te Atatū Peninsula Community Centre, 595 Te Atatū Road",273,358,1582,35,112,1283,3643,61
Te Atatū South,"St Giles Presbyterian Church, 1 Flanshaw Road",122,141,666,8,38,591,1566,23
Westgate,"Te Manawa Library Community Hub, 11 Kōhūhū Lane",19,33,99,2,3,79,235,0
,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",30,41,163,0,14,123,371,4
West Harbour,"Marina View School, 97 Marina View Drive",1,0,3,0,1,2,7,0
,"Westgate Baptist Church, 67 Hobsonville Road",0,3,10,0,1,9,23,0

Voting Places
Albany,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",3,1,6,0,1,3,14,0
Auckland City,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",0,2,2,1,0,1,6,0
Glendene,"Church Unlimited, Auditorium 2, 3 Te Atatū Road",15,17,80,4,10,105,231,2
,"Glendene School Hall, 60 Barrys Road",1,0,5,1,0,5,12,1
Glen Eden,"Glen Eden Primary School Hall, 3 Glenview Road",0,0,4,0,0,3,7,0
,"Methodist Centre of the West Church Hall, 302 West Coast Road",2,2,2,0,0,3,9,0
,"Our Lady of Lourdes Catholic Church Hall, 7 Glendale Road",1,1,7,0,0,5,14,0
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, Whare Kowhanga, 441 West Coast Road",0,1,4,0,2,11,18,2
Henderson,"Henderson High School, 21 Henderson Valley Road",24,24,97,3,12,137,297,6
,"Henderson North School, 14 Norval Road",5,21,52,2,9,71,160,4
,"Henderson Primary School, 11B Montel Avenue",7,5,51,1,8,68,140,7
,"Henderson Valley Primary School Hall, 389 Henderson Valley Road",4,5,14,1,0,13,37,0
,"Hub West, Rua Back Room, 29 Corban Avenue",6,7,36,3,8,69,129,4
,"Sturges West Community House, 58 Summerland Drive",69,51,375,9,27,262,793,23
,"Te Pai Centre, 31-35 Te Pai Place",17,20,109,4,10,126,286,2
,"Waitākere College, Gate 2, 42 Rathgar Road",36,36,163,9,19,242,505,8
,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",28,33,101,2,6,141,311,9
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",9,18,58,3,8,59,155,9
Lincoln North,"Pomaria Primary School, 33A Pomaria Road",26,23,87,7,21,175,339,12
Massey,"Lincoln Heights School, 16 Keegan Drive",0,6,3,0,0,15,24,0
,"Massey High School, 274 Don Buck Road",5,8,23,1,1,31,69,2
,"Massey Matters, Massey Community Hub, 385 Don Buck Road",6,6,6,2,3,23,46,0
Milford,"North Shore Hospital, Main Entrance Foyer, Shakespeare Road",1,0,3,0,2,14,20,0
Mt Albert,"Westfield St Lukes Shopping Centre, Centre Court, Level 1, 80 Saint Lukes Road",0,2,7,0,1,4,14,0
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",3,11,12,0,0,4,30,1
,"The Salvation Army Church Hall, 32 Delta Avenue",1,2,3,0,0,1,7,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",2,2,6,1,1,10,22,0
Rānui,"Birdwood School, 23 Karepo Crescent",11,17,47,4,4,139,222,6
,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",16,34,107,9,13,197,376,13
,"Rānui Primary School, 16 Ranui Station Road",22,36,87,7,16,183,351,6
Swanson,"Swanson School, 703 Swanson Road",50,75,216,16,18,243,618,8
Te Atatū Peninsula,"Congregational Christian Church of Samoa, 472 Te Atatū Road",18,20,97,5,17,103,260,4
,"Matipo Primary School, 63B Matipo Road",23,60,151,3,22,112,371,0
,"Peninsula Primary School, 22 Waipani Road",22,43,132,4,15,129,345,7
,"Te Atatū Intermediate School, 8 Harbour View Road",44,82,211,14,20,215,586,12
,"Te Atatū Peninsula Community Centre, 595 Te Atatū Road",59,80,208,13,29,257,646,10
Te Atatū South,"Edmonton Primary School, 1 School Road",34,58,209,11,12,250,574,6
,"Flanshaw Road School, 51 Flanshaw Road",38,72,210,5,26,220,571,7
,"Rangeview Intermediate School, 5 Keru Place",18,40,164,13,13,145,393,7
,"Tirimoana School, 34 Kokiri Street",37,42,196,9,23,203,510,10
Titirangi,"Kaurilands School Hall, 109 Atkinson Road",1,0,3,1,1,1,7,0
Western Heights,"Western Heights School, 126 Sturges Road",44,57,279,10,22,232,644,12
Westgate,"Te Manawa Library Community Hub, 11 Kōhūhū Lane",1,9,19,2,2,12,45,2
,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",1,10,15,0,5,20,51,1
West Harbour,"Westgate Baptist Church, 67 Hobsonville Road",1,0,3,0,0,3,7,0

,Overseas Special Votes Including Defence Force - Te Atatū,54,99,288,8,25,256,730,7
,Special Votes BEFORE Polling Day - Te Atatū,288,477,1588,57,172,1494,4076,138
,Special Votes ON Polling Day - Te Atatū,208,448,1029,50,175,1320,3230,101
,Voting places where less than 6 votes were taken,0,1,2,0,2,5,10,2

,Te Atatū Total,2506,3516,14071,482,1261,14202,36038,794

,Valid Candidate Votes plus Informal Candidate Votes,,36832

Electorate Candidate Valid Votes,Party,,,"TWYFORD, Philip Stoner - majority 131"
"COURT, Simon Thomas",ACT New Zealand,2506,6.95
"NEUMANN, Friederike Zooey",Green Party,3516,9.76
"NICHOLAS, Angee",National Party,14071,39.04
"PHILLIPS, Melanie Ann",Independent,482,1.34
"TAMIHERE, John Henry",Te Pāti Māori,1261,3.50
"TWYFORD, Philip Stoner",Labour Party,14202,39.41
