Party and Electorate Candidate Votes Recorded at each Voting Place
Wellington Central 60,Candidate Vote Details
,,"ALBERT, Natalia","APPLEBY, Michael George","ARNEIL, Taylor Russell","BAINS, Bherminder Singh","FRANKS, Don","GEIRINGER, Karl Thomas","GORDON, Christopher David","LIM, Meg","OMER, Ibrahim","PAUL, Tamatha-Kaye Erin","SHEERAN, Scott",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Aro Valley,"Aro Valley Community Centre Hub, 48 Aro Street",18,9,7,0,4,1,3,1,238,458,101,840,5
,"Central Park Flats, Community Recreation Room, 21 Brooklyn Road",2,2,4,1,0,0,1,0,70,35,24,139,3
Brooklyn,"Brooklyn Community Centre, 18 Harrison Street",19,4,21,1,2,0,2,2,356,321,348,1076,7
Eastbourne,"Eastbourne Library, 38 Rimu Street",0,0,0,0,0,0,0,0,1,2,6,9,0
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",3,1,1,0,0,0,0,0,38,58,38,139,0
Johnsonville,"Johnsonville Shopping Centre, adjacent to Countdown entrance, 16 Broderick Road",6,0,5,0,1,0,0,2,51,52,89,206,0
Karori,"Karori Community Centre, Youth Centre Room, 7 Beauchamp Street",76,13,43,5,2,3,3,5,1233,855,1453,3691,36
Kelburn,"Victoria University, The Hub, Kelburn Parade",45,9,4,1,1,1,2,2,328,1347,224,1964,4
Kilbirnie,"Ākau Tangi Sports Centre, formerly ASB Sports Centre, 72 Kemp Street",3,0,1,0,0,0,0,0,23,33,17,77,1
,"Kilbirnie & Lyall Bay Community Centre, 56-58 Bay Road",3,1,1,0,0,0,0,2,49,49,78,183,3
Miramar,"Miramar & Maupuia Community Centre, 27 Chelsea Street",3,0,1,0,0,1,2,0,15,29,21,72,0
Mornington,"Vogelmorn Hall, 13 Vennell Street",0,0,0,0,0,0,0,0,16,30,6,52,0
Mt Cook,"Massey University, Block 5, Level H, Wallace Street, access from Entrance A",22,2,2,0,0,0,1,1,110,445,67,650,1
Mt Victoria,"St Joseph's Church, Bill Pearce Room, 154-156 Brougham Street",9,0,2,0,1,1,0,0,59,65,71,208,1
Newtown,"Newtown Community Hall, 71 Daniell Street",1,0,1,0,0,0,0,0,7,11,5,25,0
,"Newtown School Hall, (corner Riddiford Street & Mein Street)",1,0,0,0,0,0,0,0,19,24,14,58,2
,"New World Precinct, next to New World, 199 Riddiford Street",9,4,12,0,0,0,3,1,92,127,87,335,4
,"Riddiford Corner Shop, 15 Riddiford Street",6,1,0,0,0,0,0,0,27,51,14,99,1
,"Wellington Regional Hospital, Main Concourse, Ground Floor, Adelaide Road",12,1,2,0,0,0,1,1,67,63,37,184,1
Ngaio,"Ngaio Town Hall, 1 Ottawa Road",0,0,0,0,0,0,0,0,7,2,2,11,0
Northland,"St Anne's Anglican Church, (corner Northland Road & Randwick Road)",16,2,7,0,0,0,1,2,219,179,179,605,3
Paraparaumu,"Coastlands Mall, Countdown Foyer, Old State Highway 1",2,3,0,1,0,0,0,0,15,11,23,55,1
Petone,"Petone Library and Heritage Centre, 7 Britannia Street",1,1,1,0,0,1,0,0,10,20,16,50,0
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",0,2,2,0,0,0,1,0,14,18,17,54,0
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",4,1,0,0,0,0,0,1,14,35,29,84,1
Rongotai,"Wellington International Airport - AIRSIDE, Stewart Duff Drive",0,0,1,0,0,0,0,0,7,13,11,32,1
Taken in Wellington Central,"Care Homes Team, Team 1",3,0,2,0,1,1,2,1,35,14,28,87,6
Te Aro,"Voting Team - DCM and Soup Kitchen, 2 Lukes Lane",0,1,0,0,0,0,0,0,1,6,2,10,0
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",61,4,12,0,1,2,2,3,484,671,595,1835,6
,"He Herenga Kura, Level 4, 120 Featherston Street, access from Waring Taylor Street",13,4,1,0,0,0,0,0,84,139,138,379,1
,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",161,33,37,2,3,0,10,3,1124,2325,1050,4748,16
,"St John's in the City, Church Centre Hall, (corner Dixon Street & Willis Street)",15,6,3,1,0,0,3,0,80,167,98,373,1
,"Sustainability Trust Wellington, 2 Forresters Lane",14,4,5,0,2,0,1,1,144,329,150,650,0
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",62,10,20,2,1,0,1,1,529,849,480,1955,4
,"Wellington Museum, Von Kohorn Room, Queens Wharf, 3 Jervois Quay",14,3,2,0,1,0,0,0,71,175,98,364,1

Voting Places
Aro Valley,"Aro Valley Community Centre Hub, 48 Aro Street",31,8,6,0,5,2,1,0,220,317,95,685,2
Brooklyn,"Brooklyn Community Centre, 18 Harrison Street",34,4,10,0,1,0,1,3,273,314,190,830,2
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",2,0,0,0,0,1,0,0,6,8,11,28,0
Johnsonville,"Johnsonville Shopping Centre, adjacent to Countdown entrance, 16 Broderick Road",3,2,0,0,0,1,2,0,6,6,3,23,1
Karori,"Karori Baptist Church, 161-163 Karori Road",18,4,0,0,0,1,1,1,169,82,185,461,2
,"Karori Community Centre, Youth Centre Room, 7 Beauchamp Street",26,4,12,0,1,3,0,4,264,209,226,749,6
,"Karori Normal School, 2 Donald Street",7,4,6,0,2,4,1,1,205,137,292,659,2
,"Karori West Normal School Hall, 19 Allington Road",27,10,10,2,1,0,2,3,293,210,234,792,10
,"St Teresa's Parish Hall, 301 Karori Road",18,1,8,0,0,2,1,2,162,82,181,457,4
Kelburn,"Kelburn Normal School Hall, 16 Kowhai Road",39,7,6,0,2,1,0,1,289,240,296,881,2
Kilbirnie,"Ākau Tangi Sports Centre, formerly ASB Sports Centre, 72 Kemp Street",2,0,0,0,0,0,0,0,5,11,11,29,0
,"Kilbirnie & Lyall Bay Community Centre, 56-58 Bay Road",0,0,1,0,0,0,0,0,7,10,6,24,0
Maidstone,"Happy Days Childcare, Brewtown, next to Fermented, Unit 24B/44 Blenheim Street",1,0,0,0,0,0,0,0,6,0,3,10,0
Mākara,"Makara Community Hall, 366 Makara Road",7,2,3,1,1,0,0,1,30,24,51,120,1
Miramar,"Miramar & Maupuia Community Centre, 27 Chelsea Street",1,0,0,0,0,0,0,0,2,3,6,12,0
Mornington,"Vogelmorn Hall, 13 Vennell Street",0,1,1,0,0,0,0,1,20,21,15,59,1
Mt Cook,"Mt Cook School, 160 Tory Street",12,5,5,2,0,0,0,0,96,129,71,320,1
