Party and Electorate Candidate Votes Recorded at each Voting Place
Whangaparāoa 63,Candidate Vote Details
,,"ANGELO, Simon","LAYBOURN, Craig","MITCHELL, Mark","MULLER PALLARÈS, Estefania Ailsa","NEWMAN, Lorraine Yvonne","WILSON, Jeanette",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Albany,"Albany Community Hub, 575 Albany Highway",25,5,327,77,51,9,494,3
,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",77,15,1012,154,76,23,1357,16
,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",75,12,821,145,69,19,1141,8
Browns Bay,"Heart of the Bays, 2 Glen Road",4,2,33,11,4,3,57,1
Dairy Flat,"Dairy Flat Community Hall, 4 Postman Road",71,15,599,64,40,20,809,7
Gulf Harbour,"Marine Village Town Centre, The Vine Community Church, Unit F/158 Harbour Village Drive",110,8,1021,232,97,31,1499,19
Long Bay,"Long Bay College, 20 Ashley Avenue",1,0,14,5,5,0,25,0
Manly,"Manly Methodist Church, 945 Whangaparāoa Road",73,18,1149,275,105,64,1684,29
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",4,2,36,2,4,0,48,1
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",0,0,20,1,2,0,23,0
Orewa,"Orewa Baptist Church, 1 Centreway Road, access from rear carpark",56,21,788,165,53,28,1111,6
,"Orewa Community Centre, Main Hall, 40-46 Orewa Square",210,57,3695,847,275,91,5175,44
Red Beach,"Red Beach Methodist Church, 76 Red Beach Road",80,31,1396,354,130,54,2045,13
Riverhead,"Riverhead School Hall, 21 School Road",0,0,13,0,0,0,13,0
Silverdale,"PAK'nSAVE Silverdale, Portacom, 20 Hibiscus Coast Highway",175,48,2233,379,167,68,3070,34
,"The Warehouse Silverdale, Technology Section, 61 Silverdale Street",235,41,2799,555,209,44,3883,36
Taken in Whangaparāoa,"Hospital and Care Homes Team, Team 1",17,4,298,118,17,2,456,11
Torbay,"St Mary by the Sea Church, 168 Deep Creek Road",3,0,5,1,6,0,15,0
Westgate,"Te Manawa Library Community Hub, 11 Kōhūhū Lane",2,0,20,4,1,0,27,0
,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",1,0,15,8,3,0,27,0
Whangaparāoa,"The Coast Whangaparāoa, Shop 3.32, outdoor court on Main Street, 719 Whangaparāoa Road",177,50,2604,793,330,131,4085,45

Voting Places
Albany,"Albany Community Hall, (corner Albany Highway & Library Lane)",11,2,141,49,27,18,248,1
,"Albany Community Hub, 575 Albany Highway",12,5,103,34,16,9,179,2
,"Albany Primary School, 6 Bass Road",1,0,17,1,1,1,21,0
,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",8,2,54,14,7,3,88,1
,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",3,0,44,14,11,1,73,0
Browns Bay,"Heart of the Bays, 2 Glen Road",0,1,7,2,2,1,13,0
Coatesville,"Coatesville Settlers Hall, 4 Mahoenui Valley Road",28,6,239,31,33,22,359,0
Dairy Flat,"Dairy Flat Community Hall, 4 Postman Road",28,10,279,47,31,32,427,3
Gulf Harbour,"Marine Village Town Centre, The Vine Community Church, Unit F/158 Harbour Village Drive",52,10,459,125,54,54,754,4
Long Bay,"Long Bay College, 20 Ashley Avenue",0,0,9,2,0,0,11,3
Manly,"Manly Methodist Church, 945 Whangaparāoa Road",32,16,414,124,38,44,668,9
Milldale,"Ahutoetoe School, Ruxton Road",0,3,11,1,1,0,16,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",0,0,3,1,2,1,7,0
Orewa,"Orewa Baptist Church, 1 Centreway Road, access from rear carpark",7,8,145,28,20,13,221,2
,"Orewa Beach School Hall, 280 Centreway Road",19,5,306,108,35,26,499,3
,"Orewa College, Orewa Arts and Events Centre, 76 Riverside Road",15,3,209,74,24,14,339,2
