Party and Electorate Candidate Votes Recorded at each Voting Place
Northcote 31,Candidate Vote Details
,,"BIDOIS, Daniel Michael","DONALDSON, Mark Andrew","FOLEY, Leo George","HALBERT, Shanan","SHAW, Andrew","WARREN, Michelle",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Albany,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",293,4,16,121,40,11,485,8
Auckland City,"Atrium on Elliot, Shop 925, next to Rebel Sport, 21-25 Elliot Street",29,0,1,20,9,1,60,0
,"Auckland University of Technology, Level 4, Building WA, 55 Wellesley Street",12,1,2,21,9,3,48,0
,"Auckland University Students Association, 4 Alfred Street",19,0,1,35,13,1,69,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",40,0,2,30,15,2,89,0
Beach Haven,"Beach Haven Community House, 130 Beach Haven Road",233,2,14,225,57,20,551,10
,"Maria Assumpta Parish Hall, 198 Beach Haven Road",495,4,20,530,72,41,1162,5
Birkenhead,"Highbury Mall, Shop T16, diagonally across from Countdown, 1 Cnr Highbury Bypass & Birkenhead Avenue",4175,26,124,1907,438,154,6824,45
,"Zion Hill Methodist Church Hall, 237 Onewa Road",140,1,10,87,17,6,261,4
Glenfield,"Glenfield Mall, Level 3, adjacent to Cotton On, (corner Glenfield Road & Downing Street)",3342,26,204,1776,394,152,5894,75
,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",18,0,0,7,1,1,27,0
,"St Thomas More Catholic Church Hall, 4 St Thomas More Lane",54,1,2,35,5,11,108,2
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",27,0,2,22,7,2,60,0
Hobsonville Point,"Sunderland Lounge - Te Rere, 27 Hudson Bay Road",4,0,0,1,2,0,7,0
Māngere Airport Oaks,"Auckland International Airport Terminal - AIRSIDE, Ray Emery Drive",32,0,0,9,1,0,42,0
Milford,"Milford Shopping Centre, 24 Milford Road",247,0,10,102,34,16,409,1
Mt Albert,"UNITEC, Te Puna, Building 180, 139 Carrington Road",6,0,1,3,2,0,12,0
