Party and Electorate Candidate Votes Recorded at each Voting Place
Mt Albert 24,Candidate Vote Details
,,"LEE, Melissa","MENENDEZ MARCH, Ricardo","MURPHY, Oliver James","NAUFAHU, Douglas Tupou Toutai Sandhurst Viliami Tesimoni","SWORDS, Ciara","VANDEN HEUVEL, Anthony Joseph James","WHITE, Helen",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland City,"Atrium on Elliot, Shop 925, next to Rebel Sport, 21-25 Elliot Street",52,37,3,1,3,0,48,144,1
,"Auckland University of Technology, Level 4, Building WA, 55 Wellesley Street",16,30,4,0,5,0,26,81,0
,"Auckland University Students Association, 4 Alfred Street",29,95,2,1,8,0,43,178,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",85,68,8,1,9,0,62,233,0
Avondale,"Avondale Community Centre, 99 Rosebank Road",24,13,1,2,2,1,23,66,0
,"St Jude's Anglican Church Hall, 27 St Jude Street",20,11,3,0,3,0,24,61,0
Balmoral,"Mt Eden War Memorial Hall, 487- 489 Dominion Road",346,214,47,3,21,2,307,940,10
Ellerslie,"Ellerslie War Memorial Hall, 134-138 Main Highway",9,7,0,0,0,0,4,20,0
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",37,42,8,1,5,1,61,155,2
Grey Lynn,"Grey Lynn Community Centre, 510 Richmond Road",1036,903,95,8,75,3,1122,3242,22
Kingsland,"EFKS Kingsland Congregational Christian Church of Samoa, 50 Bond Street",119,125,9,1,15,1,150,420,1
Mt Albert,"Mount Albert Presbyterian Church Hall, 14 Mount Albert Road",624,200,61,2,47,4,523,1461,30
,"UNITEC, Te Puna, Building 180, 139 Carrington Road",113,88,11,1,9,0,93,315,3
,"Westfield St Lukes Shopping Centre, Centre Court, Level 1, 80 Saint Lukes Road",1803,914,201,9,129,12,1671,4739,66
Mt Eden,"Auckland Grammar School, Hockey Centre, 3/25 Normanby Road",20,18,4,1,4,0,22,69,0
,"Auckland Provincial Guide Centre, 132 Grange Road",77,56,12,0,3,0,87,235,1
,"Greyfriars Presbyterian Church, McKinney Hall, 544 Mount Eden Road",16,13,3,0,1,0,12,45,0
Mt Roskill,"Mt Roskill War Memorial Hall, Anzac Room, 13 May Road",28,9,2,0,3,2,36,80,0
,"St Therese Catholic Church, 463 Mount Albert Road",23,2,0,0,1,0,15,41,0
,"Wesley Community Centre, Tarapunga Room, 740 Sandringham Road Extension",88,41,8,3,13,2,98,253,6
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",46,28,5,0,1,1,54,135,1
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",110,84,12,0,8,0,55,269,2
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",69,43,5,1,4,0,25,147,1
Onehunga,"Onehunga Community Centre, 83 Church Street",10,3,5,1,1,0,8,28,1
Parnell,"Church Unlimited, 2A Augustus Terrace",7,7,2,0,1,0,2,19,0
Point Chevalier,"Church@onetwosix Hall, 126 Point Chevalier Road",933,376,74,2,53,2,702,2142,18
Ponsonby,"All Saints Anglican Church, 284 Ponsonby Road",160,79,12,2,10,0,77,340,0
Taken in Mt Albert,"Care Homes, Team 1",54,13,5,1,1,1,51,126,7
Three Kings,"Fickling Convention Centre, Hillsborough Room, 546 Mount Albert Road",20,10,6,0,3,0,10,49,0
Waterview,"Waterview Methodist Church Hall, 1547 Great North Road, Fir Street entrance",4,8,0,0,1,0,6,19,0
Western Springs,"Greek Community and Orthodox Parish of Auckland, 106-108 Western Springs Road",185,161,19,5,20,1,204,595,3

Voting Places
Auckland City,"Atrium on Elliot, Shop 925, next to Rebel Sport, 21-25 Elliot Street",1,3,2,0,1,0,4,11,0
,"Auckland High Court, 24 Waterloo Quadrant (corner Waterloo Quadrant & Parliament Street)",4,3,0,0,2,0,3,12,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",6,10,2,0,0,0,8,26,0
Avondale,"Avondale Community Centre, 99 Rosebank Road",0,4,1,0,2,0,12,19,0
,"St Jude's Anglican Church Hall, 27 St Jude Street",7,4,0,0,1,0,16,28,1
Balmoral,"Mt Eden War Memorial Hall, 487- 489 Dominion Road",121,59,10,0,12,1,135,338,0
Grey Lynn,"Central Vineyard Community Hall, 65 Great North Road",88,96,10,0,18,2,165,379,5
,"Grey Lynn Community Centre, 510 Richmond Road",339,288,35,7,36,1,444,1150,12
,"Richmond Road School, 113 Richmond Road",28,30,1,1,2,1,34,97,1
Herne Bay,"Bayfield School, 2 Clifton Road",75,25,6,0,3,0,26,135,1
Kingsland,"EFKS Kingsland Congregational Christian Church of Samoa, 50 Bond Street",86,91,13,0,17,4,146,357,2
,"Kōwhai Intermediate School, 26 Onslow Road",170,157,28,1,19,3,251,629,4
Mt Albert,"Gladstone Primary School, 120 Carrington Road entrance",251,152,28,3,27,3,321,785,6
,"Mount Albert Presbyterian Church Hall, 14 Mount Albert Road",351,138,43,3,27,2,306,870,9
,"Mt Albert Senior Citizens' Hall, 3B Wairere Avenue",268,175,27,7,14,1,298,790,4
,"Te Kura Kaupapa Māori o Ngā Maungarongo, 140 Haverstock Road",30,23,5,1,5,0,55,119,1
,"Westfield St Lukes Shopping Centre, Centre Court, Level 1, 80 Saint Lukes Road",176,108,30,3,17,1,194,529,9
Mt Eden,"Auckland Grammar School, Hockey Centre, 3/25 Normanby Road",3,1,1,0,0,0,6,11,0
,"Auckland Provincial Guide Centre, 132 Grange Road",70,32,4,3,7,0,67,183,0
,"Good Shepherd Parish Hall, 30 Telford Avenue",83,25,10,0,7,0,82,207,2
,"Mount Eden Normal Primary School, 73 Valley Road",27,6,1,0,3,1,28,66,0
Mt Roskill,"Christ The King School Hall, 288 Richardson Road",7,2,1,1,1,0,10,22,1
,"Mt Roskill War Memorial Hall, Anzac Room, 13 May Road",6,3,0,0,1,0,17,27,0
,"St Therese Catholic Church, 463 Mount Albert Road",4,1,1,0,1,0,3,10,0
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",6,1,2,2,1,0,7,19,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",18,1,3,0,4,0,7,33,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",2,7,1,0,2,0,4,16,0
Onehunga,"Onehunga Community Centre, 83 Church Street",2,1,0,0,1,0,4,8,0
Ōwairaka,"Ōwairaka District School Hall, 113 Richardson Road",142,65,15,1,13,4,165,405,6
Point Chevalier,"Church@onetwosix Hall, 126 Point Chevalier Road",194,129,12,3,18,2,245,603,6
,"Pasadena Intermediate School Hall, 2 Moray Place",62,55,5,4,9,3,101,239,2
,"Point Chevalier Primary School, 7 Te Ra Road",277,142,15,1,30,3,218,686,5
,"Selwyn Village, 43 Target Street",77,33,8,0,2,0,104,224,4
Ponsonby,"All Saints Anglican Church, 284 Ponsonby Road",38,31,1,0,5,0,43,118,1
Sandringham,"Edendale Primary School Hall, 419A Sandringham Road",219,95,25,8,25,1,340,713,9
Three Kings,"Fickling Convention Centre, Hillsborough Room, 546 Mount Albert Road",9,6,2,0,1,0,7,25,0
Waterview,"Waterview Methodist Church Hall, 1547 Great North Road, Fir Street entrance",7,2,0,0,0,0,9,18,0
,"Waterview Primary School Hall, 16 Herdman Street",2,0,0,0,2,0,4,8,0
Western Springs,"Greek Community and Orthodox Parish of Auckland, 106-108 Western Springs Road",188,150,36,2,31,2,243,652,2
,"TAPAC, 100 Motions Road",11,18,2,0,5,0,27,63,2
Westmere,"Westmere School, 81 Garnet Road",290,144,17,2,21,2,228,704,5

,Overseas Special Votes Including Defence Force - Mt Albert,606,857,85,5,94,3,826,2476,10
,Special Votes BEFORE Polling Day - Mt Albert,1625,1361,214,24,190,15,1258,4687,75
,Special Votes ON Polling Day - Mt Albert,1080,1058,155,27,180,16,1143,3659,70
,Voting places where less than 6 votes were taken,1,6,1,0,2,0,3,13,0

,Mt Albert Total,13220,9296,1485,155,1318,104,13238,38816,430

,Valid Candidate Votes plus Informal Candidate Votes,,39246

Electorate Candidate Valid Votes,Party,,,"WHITE, Helen - majority 18"
"LEE, Melissa",National Party,13220,34.06
