Party and Electorate Candidate Votes Recorded at each Voting Place
Invercargill 16,Candidate Vote Details
,,"CRAIG, Elizabeth","DONALDSON, Scott Ian","KOWALEWSKI, David John","O'CONNELL, Kevin Patrick","SIMMONDS, Penelope Elsie","TERRILL, Judith Anne",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Bluff,"Bluff Senior Citizens Centre, 10 Onslow Street",94,6,12,4,62,1,179,3
Central Dunedin,"Meridian Mall, Hanover Street entrance, 285 George Street",21,1,1,2,24,0,49,1
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",22,0,0,1,46,0,69,1
Frankton,"St Margaret's Presbyterian Church, (corner Kawarau Road & Ross Street)",1,0,1,0,21,0,23,1
Gore,"James Cumming Community Rooms, Otamatea Room, 10 Ardwick Street",19,8,8,0,72,1,108,1
Invercargill,"Civic Theatre, 88 Tay Street",772,101,61,39,1117,19,2109,34
,"Eastside Baptist Church, 2 Glengarry Crescent",195,25,13,11,270,5,519,8
,"ILT Stadium Southland, 18 Surrey Park Road",643,96,77,71,1279,10,2176,15
,"Invercargill Central, Main Entrance, 39 Esk Street",715,106,66,67,1393,16,2363,26
,"Ngā Hau E Whā Marae, 193 Conon Street",39,2,4,2,20,2,69,2
,"Southern Institute of Technology, Hansen Hall, 133 Tay Street",18,1,0,1,56,0,76,1
,"St Andrew's Community Church, 141 Manse Street",1048,100,69,76,781,36,2110,50
,"St Stephen's Presbyterian Church Hall, 290 North Road",476,81,76,36,1203,15,1887,19
,"Windsor Community Church, 19 Windsor Street",886,102,60,34,2093,22,3197,44
Otatara,"Otatara Community Centre, 146 Dunns Road",160,49,13,11,407,1,641,5
Queenstown,"Queenstown Memorial Centre, 1 Memorial Street",1,1,1,0,4,0,7,0
Riverton,"Riverton Primary School Hall, 7 Leader Street",33,8,6,2,91,0,140,3
Taken in Invercargill,"Care Homes, Team 1",85,3,1,3,107,0,199,4
,"Care Homes, Team 2",88,9,3,1,128,2,231,16
,"Pop-up Voting Services, Various Locations - Southern Coast",33,5,18,4,127,2,189,2
,"Prison Team, Team 1",13,2,1,6,2,0,24,0
Te Anau,"Fiordland Community House, 21 Luxmore Drive",8,3,2,1,22,0,36,0
Tuatapere,"Tuatapere RSA Hall, 61 Main Road",24,4,7,2,64,0,101,3
Winton,"Winton Memorial Hall, 2 Meldrum Street",36,18,9,4,158,1,226,2

Voting Places
Arrowtown,"Arrowtown Primary School, 8 Chalmers Place",2,0,0,0,7,0,9,0
Blackmount,"Blackmount Community Centre, 4288 Blackmount-Redcliff Road",4,3,3,0,52,0,62,0
Bluff,"Bluff School, 39 Bradshaw Street",134,16,24,9,90,4,277,2
,"St Teresa's School, 181 Foyle Street",87,11,20,14,40,2,174,1
Central Dunedin,"Meridian Mall, Hanover Street entrance, 285 George Street",7,0,0,1,4,0,12,0
Clifden,"Hauroko Valley Primary School, 956 Clifden Highway",11,11,4,2,72,0,100,3
Colac Bay,"Colac Bay Rifles Volunteer Hall, 14 Manuka Street",27,6,9,2,67,2,113,3
Dacre,"Dacre Coronation Hall, (corner Baird Road & Edendale-Woodlands Highway)",3,6,6,2,71,1,89,1
Drummond,"Drummond Primary School, (corner Boundary Road & Domain Road)",2,2,0,0,6,0,10,0
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",8,1,0,1,8,0,18,0
Edendale,"Edendale School, 24 Salford Street",50,24,30,3,208,2,317,5
Fairfax,"Fairfax Public Hall, 1493 Riverton-Otautau Road",4,9,4,1,88,0,106,0
Frankton,"St Margaret's Presbyterian Church, (corner Kawarau Road & Ross Street)",1,0,0,1,9,0,11,0
Glenham,"Glenham Community Centre, 1013 Wyndham-Letterbox Road",2,2,10,0,64,0,78,0
Gore,"Gore Town & Country Club, Esplin Room, 2 Bury Street",1,2,2,1,6,0,12,0
