Party and Electorate Candidate Votes Recorded at each Voting Place
Rotorua 44,Candidate Vote Details
,,"McCLAY, Todd Michael","NAERA, Jonathan Tokitahi Croft","RAUKAWA-TAIT, Mary Gayle","ROZEBOOM, Marten","SANDFORD, Ben","VERCOE, Karri-Ann Alisa",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Fordlands,"Fordlands Community Centre, 48 Bellingham Crescent",129,7,46,4,140,12,338,15
Hairini,"Baden-Powell Centre, Ila Park, 46 Harrisfield Drive",34,0,1,6,5,2,48,1
Lynmore,"Redwood Shopping Centre, Palazzo Kitchens, Shop 5, 5 Tarawera Road",1685,12,153,122,719,43,2734,32
Mount Maunganui,"Arataki Community Centre, Zambuk Way, off Grenada Street",12,0,0,1,4,1,18,0
,"Bayfair Shopping Centre, outside Just Jeans, 19 Girven Road (corner Maunganui Road)",180,9,20,14,49,7,279,4
,"St Mary's Anglican Church Hall, 33 Girven Road (corner Marlin Street)",3,0,0,1,2,1,7,0
Ngongotahā,"Ngongotaha Community Hall, 5 School Road",1452,31,179,108,673,56,2499,30
Oropi,"Oropi Memorial Hall and Community Centre, 1295 Oropi Road",74,0,5,7,24,1,111,3
Papamoa Beach,"Papamoa Community Centre, 15 Gravatt Road",38,0,4,4,13,1,60,1
,"Papamoa Plaza, Food Court, 7 Gravatt Road",137,1,12,24,51,23,248,5
,"Papamoa Sports & Recreation Centre, Gordon Spratt Reserve, 80 Alice Lane, off Parton Road",26,0,1,0,5,0,32,0
Poike,"Changepoint Church, 131 Poike Road",55,1,0,4,15,5,80,0
,"Toi Ohomai / Te Pūkenga Windermere Campus, Lower Ātea, A Block, Gate 1, 70 Windemere Drive",8,0,3,0,5,0,16,0
Reporoa,"Reporoa Settlers Hall, 3834 Broadlands Road",111,1,5,8,23,3,151,2
Rotorua,"Electoral Commission Rotorua, 1200 Amohau Street",590,7,68,39,289,37,1030,19
,"Rotorua Central Mall, Centre Court, 1170 Amohau Street",2398,28,328,165,1533,118,4570,92
,"Te Manawa Shop, former Stevens, 1241 Tutanekai Street",712,8,95,40,453,31,1339,13
Taken in Rotorua,"Care Homes Team, Team 1",162,1,20,9,111,9,312,10
,"Mobile Team, Papa Kainga Marae Aged Care",78,0,28,10,71,7,194,6
,"Mobile Team, Team 1",168,3,30,11,111,13,336,12
Taupō,"Taupō Town Centre, Retail Space, 40 Horomātangi Street",25,1,1,0,5,0,32,8
,"Taupō Town Centre, Retail Space, 85 Tongariro Street",20,0,0,0,2,0,22,0
Tauriko,"Tauranga Crossing, first floor next to H&M, 2 Taurikura Drive",91,0,7,12,23,3,136,1
Te Puke,"Te Puke War Memorial Hall, 130 Jellicoe Street",1625,16,85,136,578,78,2518,56
Tihiotonga,"Te Pūkenga - Toi Ohomai, Mokoia Campus, I Block, Mokoia Drive",87,5,21,5,48,0,166,0
Welcome Bay,"Welcome Bay Hall, 244 Welcome Bay Road",63,0,5,11,25,7,111,4

Voting Places
Ātiamuri,"Upper Atiamuri Hall, 223 State Highway 30",52,0,1,7,3,6,69,0
Broadlands,"Broadlands School Hall, 2986 Broadlands Road",66,1,1,8,8,3,87,1
Fenton Park,"Fenton Park Bible Church, (corner Hilda Street & Ward Avenue)",147,2,17,11,98,21,296,7
Fordlands,"Fordlands Community Centre, 48 Bellingham Crescent",48,2,21,6,58,4,139,5
Glenholme,"Glenholme School Hall, 149 Ranolf Street",242,4,40,19,199,24,528,7
Hairini,"Baden-Powell Centre, Ila Park, 46 Harrisfield Drive",5,0,2,0,1,0,8,0
Hamurana,"Hamurana Playcentre, 38 Tauranga Direct Road",139,6,13,17,44,11,230,3
Horohoro,"Horohoro School, 69 Apirana Road",49,0,9,5,19,3,85,2
